question,RMV,REM,RGLAD,RLFC,truth,AND,OR,hard
4,3,4,4,4,4,0,7,0
5cf83b7444578a0664cf472c,1,2,1,2,1,0,3,0
5cf83b8e44578a0664d35d68,1,1,1,1,1,1,1,0
5cf83ba344578a0664d67efb,4,4,4,4,4,4,4,0
5cf83bad44578a0664d8239a,2,2,2,2,2,2,2,0
5cf83bf844578a0664e435d7,4,4,4,4,2,4,4,0
5cf83c1d44578a0664ea03ba,2,2,2,2,2,2,2,0
5cf83c8944578a0664f9aa24,4,4,4,4,4,4,4,0
5cf83d3e44578a066414a4bc,4,4,4,4,4,4,4,0
5cf83d5b44578a0664191d7a,2,2,2,2,2,2,2,0
5cf83da644578a066424c3dd,4,4,4,4,4,4,4,0
5cf83da744578a066424e062,4,3,4,3,4,0,7,0
5cf83dd444578a06642c03a0,1,2,1,2,4,0,3,0
5cf83fdf44578a06646846b3,1,1,1,1,1,1,1,0
5cf845e544578a0664750f34,1,1,1,1,1,1,1,0
5cf8463b44578a06647e07f9,3,3,1,3,1,1,3,0
5cf846f444578a066495b857,2,2,2,2,4,2,2,0
5cf8471544578a0664993c90,1,1,1,1,1,1,1,0
5cf8476344578a0664a2ac0e,1,1,1,1,1,1,1,0
5cf847bd44578a0664ace6d7,4,4,4,4,4,4,4,0
5cf847e344578a0664b0c117,1,2,1,2,1,0,3,0
5cf8480544578a0664b4802b,1,1,1,1,1,1,1,0
5cf8480b44578a0664b4f6eb,1,1,1,1,1,1,1,0
5cf8483444578a0664b98dc6,3,3,3,3,3,3,3,0
5cf848f744578a0664ce2042,1,1,1,1,1,1,1,0
5cf8493c44578a0664d56339,1,1,1,1,1,1,1,0
5cf84b7f44578a06640e862c,4,4,4,4,1,4,4,0
5cf84c0544578a066418d9c3,1,1,1,1,1,1,1,0
5cf84e2644578a06644c0c29,3,3,3,3,4,3,3,0
5cf84ec244578a06645e20f0,1,4,1,4,2,0,5,0
5cf84f0644578a0664662a97,5,5,5,5,4,5,5,0
5cf84f6f44578a066474982f,4,4,4,4,4,4,4,0
5cf84fcd44578a066481ed49,1,1,1,1,1,1,1,0
5cf84ff044578a0664872050,1,3,1,3,1,1,3,0
5cf8506744578a0664987ecf,1,1,1,1,3,1,1,0
5cf8507844578a06649b0aaf,5,5,4,5,4,4,5,0
5cf8531e44578a0664d8c407,5,1,1,1,1,1,5,0
5cf8534444578a0664dc5e25,4,4,4,4,4,4,4,0
5cf8535744578a0664ddbe95,1,1,1,1,1,1,1,0
5cf8538044578a0664e1b346,5,1,1,1,1,1,5,0
5cf853b344578a0664e5d073,1,1,1,1,1,1,1,0
5cf8540d44578a0664eb6493,2,2,2,2,2,2,2,0
5cf8544f44578a0664efdc7d,2,2,2,2,2,2,2,0
5cf854ae44578a0664f70411,3,3,3,3,1,3,3,0
5cf855fc44578a06640c5956,1,1,1,1,1,1,1,0
5cf857e944578a066429fdb4,4,4,4,4,4,4,4,0
5cf8584944578a066430cde5,4,4,4,4,4,4,4,0
5cf858d844578a06643ba111,4,2,4,2,4,0,6,0
5cf8596244578a066445e68b,1,1,1,1,1,1,1,0
5cf8599444578a066449bbe8,4,4,4,4,4,4,4,0
5cf859c044578a06644d0915,2,2,2,2,4,2,2,0
5cf85ad844578a066461f88d,1,1,1,1,1,1,1,0
5cf85b2544578a06646786c6,3,4,3,4,4,0,7,0
5cf85b7f44578a06646dec06,5,3,5,3,4,1,7,0
5cf85c9544578a066482568b,1,1,1,1,1,1,1,0
5cf85cfe44578a066489ecf7,4,5,5,5,4,4,5,0
5cf85d4444578a06648fa6a8,1,1,1,1,1,1,1,0
5cf85d5f44578a066491615c,1,1,1,1,1,1,1,0
5cf85dc144578a066498547b,3,3,3,3,4,3,3,0
5cf85e3344578a0664a54efc,1,4,1,4,1,0,5,0
5cf85e3c44578a0664a684c5,3,2,4,2,2,0,7,0
5cf85e4e44578a0664a94037,1,1,1,1,1,1,1,0
5cf85e5144578a0664a9b624,1,1,4,1,1,0,5,0
5cf85e5b44578a0664ab3242,4,4,4,4,4,4,4,0
5cf85e8744578a0664b12452,2,2,2,2,2,2,2,0
5cf85e9a44578a0664b3ef47,3,3,3,3,4,3,3,0
5cf85efa44578a0664c15c39,4,4,4,4,4,4,4,0
5cf85f1644578a0664c51292,1,1,1,1,1,1,1,0
5cf85fc644578a0664d902d9,1,1,1,1,1,1,1,0
5cf85ff944578a0664e02857,4,4,4,4,4,4,4,0
5cf8604644578a0664ea5ee5,1,1,1,1,1,1,1,0
5cf8604a44578a0664eb0f43,1,3,4,3,4,0,7,0
5cf8606f44578a0664efe69d,1,1,1,1,1,1,1,0
5cf8607d44578a0664f1ac53,3,3,3,3,1,3,3,0
5cf8613844578a066401d4ca,1,1,1,1,1,1,1,0
5cf861d644578a0664171999,4,2,4,2,4,0,6,0
5cf8620144578a06641ca44b,1,1,1,1,1,1,1,0
5cf8627544578a06642b449c,1,1,1,1,4,1,1,0
5cf862ab44578a066432a90e,4,4,4,4,3,4,4,0
5cf862b344578a066433d7f5,5,5,5,5,1,5,5,0
5cf862c244578a06643579b3,1,1,1,1,1,1,1,0
5cf862c744578a0664363eab,3,3,3,3,1,3,3,0
5cf8630344578a06643cb0b4,3,3,3,3,1,3,3,0
5cf8631544578a06643f4d12,4,5,4,5,2,4,5,0
5cf8631e44578a06643feba5,1,1,1,1,1,1,1,0
5cf8636744578a0664481f01,3,3,3,3,3,3,3,0
5cf8645844578a06644e7076,1,1,1,1,1,1,1,0
5cf8657a44578a066453eab9,1,3,1,3,1,1,3,0
5cf8695d44578a06645c35e2,5,5,3,5,2,1,7,0
5cf86b2144578a066462d21a,4,4,4,4,4,4,4,0
5cf86c7e44578a0664742a42,4,4,4,4,4,4,4,0
5cf86d2a44578a066479f924,4,2,2,2,4,0,6,0
5cf86ded44578a06648400ae,1,4,4,4,4,0,5,0
5cf86e2744578a066488880a,3,3,3,3,4,3,3,0
5cf86ecb44578a06649a05b8,1,1,1,1,1,1,1,0
5cf86ef444578a06649ef931,1,1,1,1,1,1,1,0
5cf86f5844578a0664ab2460,1,1,1,1,1,1,1,0
5cf86f8b44578a0664b0e3c0,1,1,1,1,1,1,1,0
5cf86fcd44578a0664b8b85c,1,1,1,1,1,1,1,0
5cf8712544578a0664c49146,1,1,1,1,1,1,1,0
5cf8712644578a0664c4a569,4,2,4,2,2,0,6,0
5cf8714a44578a0664c6c3d4,5,5,5,5,4,5,5,0
5cf8714e44578a0664c732d6,1,1,1,1,1,1,1,0
5cf8717944578a0664cc0995,1,1,1,1,1,1,1,0
5cf8718644578a0664cdb870,1,1,1,1,1,1,1,0
5cf8719144578a0664cf51da,1,1,1,1,1,1,1,0
5cf8719744578a0664d00189,2,2,2,2,2,2,2,0
5cf8723844578a0664dfeb92,4,5,4,5,4,4,5,0
5cf8725e44578a0664e48ca4,3,3,3,3,3,3,3,0
5cf8727144578a0664e70727,1,1,1,1,1,1,1,0
5cf8727f44578a0664e891b9,4,4,4,4,4,4,4,0
5cf8728044578a0664e8b501,4,3,4,3,4,0,7,0
5cf8728644578a0664e963f8,1,2,2,2,1,0,3,0
5cf872aa44578a0664ec3783,1,1,1,1,1,1,1,0
5cf8735f44578a0664f85c1f,2,2,2,2,2,2,2,0
5cf873cc44578a0664037725,1,1,1,1,1,1,1,0
5cf8745844578a06641511a6,4,4,4,4,4,4,4,0
5cf8746344578a06641656e3,5,5,5,5,4,5,5,0
5cf874bb44578a06641f15db,2,2,2,2,2,2,2,0
5cf8753044578a0664275d2b,1,1,1,1,1,1,1,0
5cf875be44578a0664383dc6,1,1,1,1,3,1,1,0
5cf875e544578a06643d3b7c,3,3,3,3,4,3,3,0
5cf875f744578a06643f6433,1,1,1,1,1,1,1,0
5cf8764744578a06644960f4,1,1,1,1,1,1,1,0
5cf8766144578a06644c449f,1,1,1,1,1,1,1,0
5cf8780644578a0664674b4b,1,1,1,1,1,1,1,0
5cf8781244578a066468c70e,3,4,3,4,1,0,7,0
5cf8784944578a06646f124d,1,2,2,2,1,0,3,0
5cf8784f44578a06646fd853,3,3,3,3,4,3,3,0
5cf879b644578a06648ae8df,1,1,1,1,1,1,1,0
5cf879d144578a06648cc6cf,1,1,1,1,1,1,1,0
5cf87a1744578a066490e15b,1,1,1,1,1,1,1,0
5cf87a5e44578a0664945858,3,4,3,4,3,0,7,0
5cf87a7e44578a0664969f26,1,1,1,1,1,1,1,0
5cf87aa944578a066498c711,3,3,2,3,4,2,3,0
5cf87aa944578a066498ccf9,3,3,4,3,4,0,7,0
5cf87b5f44578a0664a2ed71,4,5,4,5,4,4,5,0
5cf87b8144578a0664a50f4d,3,4,3,4,4,0,7,0
5cf87bc444578a0664a8e38d,5,1,4,1,3,0,5,0
5cf9232d44578a0664ac56a5,3,3,3,3,4,3,3,0
5cf923c144578a0664ae68db,1,2,2,2,1,0,3,0
5cf9245644578a0664b00968,1,3,1,3,4,1,3,0
5cf9247644578a0664b0b635,1,1,1,1,1,1,1,0
5cf9252b44578a0664b3ab2b,4,1,1,1,4,0,5,0
5cf9270244578a0664bec6d1,1,1,1,1,1,1,1,0
5cf9275c44578a0664c45022,2,2,2,2,2,2,2,0
5cf928b344578a0664db09db,3,3,3,3,4,3,3,0
5cf928f944578a0664de0bf5,1,1,1,1,1,1,1,0
5cf929fd44578a0664e98b88,1,4,3,4,4,0,7,0
5cf92b5b44578a0664f87534,4,4,4,4,4,4,4,0
5cf92bbe44578a0664fd45de,2,2,2,2,1,2,2,0
5cf92dfa44578a066414db2b,4,4,4,4,4,4,4,0
5cf92e5944578a06641cc6e5,3,3,3,3,4,3,3,0
5cf92f0544578a066422ecfd,4,4,4,4,4,4,4,0
5cf92f3544578a06642691de,2,2,2,2,2,2,2,0
5cf92f9b44578a06642ecaa3,4,4,4,4,4,4,4,0
5cf9307344578a06643880f1,3,4,3,4,4,0,7,0
5cf930f744578a066442d19f,1,1,1,1,1,1,1,0
5cf9313e44578a06644717a4,1,1,1,1,1,1,1,0
5cf9317044578a06644a75d6,1,3,1,3,1,1,3,0
5cf9324b44578a06645a0f12,2,5,2,5,2,0,7,0
5cf9654a44578a06646e0a55,3,3,3,3,4,3,3,0
5cf9677444578a0664854fac,1,1,1,1,1,1,1,0
5cf967fc44578a06649362c3,4,2,4,2,4,0,6,0
5cf9682c44578a0664985fda,5,4,4,4,4,4,5,0
5cf96a6e44578a0664bcee23,1,1,1,1,1,1,1,0
5cf96ffc44578a0664dcc17e,2,1,2,1,4,0,3,0
5cf9701e44578a0664de0b8c,3,3,3,3,1,3,3,0
5cf9704b44578a0664dfb381,2,4,2,4,4,0,6,0
5cf9719644578a0664ebc908,1,2,1,2,1,0,3,0
5cf971f844578a0664ed7e6d,4,4,4,4,3,4,4,0
5cf972cd44578a0664f683e6,4,4,4,4,2,4,4,0
5cf9731e44578a0664fd0d02,4,5,4,5,1,4,5,0
5cf9774b44578a066411a6dc,4,5,4,5,4,4,5,0
5cf9783f44578a06641c5fd3,4,4,4,4,4,4,4,0
5cf9786e44578a06641ee479,1,3,1,3,1,1,3,0
5cf97a0144578a066432528e,1,1,1,1,1,1,1,0
5cf97a3544578a066435d3ee,4,4,4,4,4,4,4,0
5cf97a5e44578a06643817eb,3,3,3,3,4,3,3,0
5cf97b1344578a06643beb6d,2,5,2,5,4,0,7,0
5cf97b4b44578a06643e2f7b,3,3,3,3,4,3,3,0
5cf97ba544578a066443e31e,4,4,4,4,4,4,4,0
5cf97cbf44578a066451b1cb,4,4,4,4,4,4,4,0
5cf97e5b44578a0664612a08,1,4,1,4,1,0,5,0
5cf97e5c44578a0664614bf6,3,3,3,3,4,3,3,0
5cf97e7a44578a0664627c2d,1,1,1,1,1,1,1,0
5cf97f7844578a06646f5e91,2,3,3,3,2,2,3,0
5cf97f8e44578a066470b92e,2,5,1,5,4,0,7,0
5cf9816844578a06648aad1d,2,2,2,2,1,2,2,0
5cf981c344578a06648ec714,2,2,2,2,4,2,2,0
5cf981f544578a0664916b71,1,1,1,1,1,1,1,0
5cf9825244578a0664939d10,4,4,4,4,2,4,4,0
5cf9825844578a066494875e,1,1,1,1,1,1,1,0
