question,worker,result,local_time_twitterStyle,local_time_nice,hour,weekday,month
5d7c54b544578a1f4806810f,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d91ca4444578a1f4892c1fd,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5ecb36c02e44261edafe9f40,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5ecf35b14d315037d5f816d3,A3CFNUD7VR2E1E,1,dummy,dummy,dummy,dummy,dummy
5e38ac8044578a094885fac6,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5d0a3ede44578a00e01f18e9,A13U35U1PDLQDK,0,dummy,dummy,dummy,dummy,dummy
5ec1c2e9388f6a36d4818d66,AFS04JY1ZARXK,0,dummy,dummy,dummy,dummy,dummy
5ec3b39a388f6a36d4c27ec4,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d0dc2d244578a0ea489dec1,A383I2LLYX9LJM,1,dummy,dummy,dummy,dummy,dummy
5d0df60744578a0ea4eaad6f,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5ecea2cdf46b2b34fcfcbc46,AM2W23THD4CI7,0,dummy,dummy,dummy,dummy,dummy
5d58c91c44578a1f484e1659,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d6e671b44578a1f48093af3,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5de4401244578a15c8dd78e6,AJ2H4FUPQKF9E,0,dummy,dummy,dummy,dummy,dummy
5d10464244578a0ddcbe384b,AP2HL1DHHBIC6,0,dummy,dummy,dummy,dummy,dummy
5d09e03f44578a00e0f138ba,A13U35U1PDLQDK,1,dummy,dummy,dummy,dummy,dummy
5d5a3bd044578a1f48fd66b2,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5ecb1c402e44261eda5ec210,A1NF6PELRKACS9,1,dummy,dummy,dummy,dummy,dummy
5d8fe98c44578a1f4822361b,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5d6e11d044578a1f4863d6d4,A2YW44YTN5992M,0,dummy,dummy,dummy,dummy,dummy
5de2abdb44578a1a248e5a8f,AWIPMIAD5U5MP,1,dummy,dummy,dummy,dummy,dummy
5e51c84444578a09487dd708,A5BMA5POGL8DW,1,dummy,dummy,dummy,dummy,dummy
5d7c3d7844578a1f489126ca,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5e511f0f44578a094828af00,A2WNW8A4MOR7T7,0,dummy,dummy,dummy,dummy,dummy
5ecf0e824d3150ef57f56f0e,AFS04JY1ZARXK,1,dummy,dummy,dummy,dummy,dummy
5d0fd1fc44578a1e146b4a92,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
5de2cc2344578a1a24d0746c,A3GUJ6JD25FX7O,1,dummy,dummy,dummy,dummy,dummy
5d759d4e44578a1f48daf955,AI6VJYDFQ90ME,0,dummy,dummy,dummy,dummy,dummy
