,iid,A1,A2,A3,age,sex,org,hour,weekday,result,truth
0,5ece812df46b2b34fcc352ac,0,0,0,30-39,male,is-org,22,Sat,0,0
1,5ece812ef46b2b34fcc3a0be,0,0,0,19-29,male,non-org,22,Sun,0,0
2,5ece814af46b2b34fcc9528a,0,1,0,30-39,female,non-org,21,Sat,0,0
3,5ece815ef46b2b34fccd1ae2,0,0,0,>=40,male,non-org,22,Sat,0,0
4,5ece8169f46b2b34fccf47ef,0,0,0,>=40,male,is-org,22,Sat,0,0
5,5ec38b44388f6a36d4e83f32,0,0,0,>=40,male,is-org,22,Sat,0,0
6,5ece8179f46b2b34fcd2203c,1,1,1,30-39,female,non-org,21,Sun,1,1
7,5ece8188f46b2b34fcd4c623,1,1,1,>=40,female,is-org,12,Wed,1,1
8,5ece8190f46b2b34fcd61a43,0,1,0,19-29,male,non-org,20,Mon,0,1
9,5ece819df46b2b34fcd82f07,0,1,0,30-39,male,non-org,23,Sat,0,0
10,5ece81eff46b2b34fce47955,0,0,0,30-39,male,non-org,02,Mon,0,0
11,5ece81f0f46b2b34fce4a05c,0,0,0,19-29,female,non-org,22,Mon,0,1
12,5ece820cf46b2b34fce9dc0a,0,0,1,>=40,male,non-org,14,Wed,0,0
13,5ece8212f46b2b34fceaece0,0,0,0,19-29,male,non-org,04,Sun,0,0
14,5ece821bf46b2b34fcecab64,0,0,0,<=18,male,non-org,22,Mon,0,0
15,5ece827bf46b2b34fcfea1ab,0,0,0,19-29,female,non-org,23,Mon,0,0
16,5ece8298f46b2b34fc03a8b1,1,1,1,30-39,male,non-org,23,Mon,1,1
17,5ec38d6b388f6a36d426ba53,1,1,0,30-39,male,non-org,23,Mon,1,1
18,5e4b5cc444578a0948cf22e9,1,1,1,30-39,male,non-org,21,Sat,1,1
19,5de432a244578a15c80d89a6,0,0,1,30-39,male,non-org,16,Sat,0,0
20,5ece829ef46b2b34fc04cf15,0,0,0,<=18,male,non-org,16,Wed,0,0
21,5ece82f8f46b2b34fc13baeb,1,1,0,30-39,female,non-org,18,Wed,1,1
22,5ece8313f46b2b34fc19044a,0,0,0,30-39,male,non-org,18,Wed,0,0
23,5ece8315f46b2b34fc193672,0,0,0,<=18,male,is-org,09,Sun,0,0
24,5ec39a56388f6a36d48753cd,0,0,0,<=18,male,is-org,07,Fri,0,0
25,5d759d4e44578a1f48daf955,0,0,0,<=18,male,is-org,10,Mon,0,0
26,5d2164b144578a14a8c85dcf,0,0,0,<=18,male,is-org,19,Sat,0,0
27,5cf84f6f44578a066474982f,0,0,0,<=18,male,is-org,11,Thu,0,0
28,5ece8348f46b2b34fc2268db,0,0,0,>=40,male,non-org,02,Tue,0,1
29,5ece83aff46b2b34fc3506da,1,1,1,>=40,male,non-org,18,Wed,1,1
30,5ece83cef46b2b34fc3aa532,1,1,0,30-39,male,non-org,12,Sun,1,1
31,5ece83f6f46b2b34fc41362b,1,1,1,>=40,female,non-org,22,Wed,1,1
32,5ece8442f46b2b34fc4f0739,0,0,0,>=40,male,non-org,23,Wed,0,0
33,5ece8462f46b2b34fc54ef5e,0,1,0,30-39,female,non-org,14,Sun,0,0
34,5ec390ec388f6a36d48d9189,0,0,0,30-39,female,non-org,14,Sun,0,0
35,5ece848bf46b2b34fc5ba225,1,1,1,<=18,female,non-org,22,Wed,1,1
36,5ece84a8f46b2b34fc60547d,0,0,0,19-29,male,non-org,12,Sun,0,0
37,5ece84aaf46b2b34fc60b2a2,0,0,0,>=40,male,is-org,14,Mon,0,0
38,5ece84f3f46b2b34fc6cdf60,0,0,0,30-39,male,non-org,15,Mon,0,0
39,5de42eef44578a15c8b1e4c2,0,0,0,30-39,male,non-org,19,Thu,0,0
40,5ece85bef46b2b34fc739686,1,1,1,19-29,male,non-org,10,Tue,1,1
41,5ece8674f46b2b34fc7d5404,0,0,1,>=40,male,non-org,18,Sun,0,0
42,5ece868df46b2b34fc7fca67,1,1,0,>=40,male,non-org,17,Sun,1,1
43,5ec392d7388f6a36d4c2cbac,1,0,0,>=40,male,non-org,17,Sun,0,1
44,5ece86acf46b2b34fc85174e,0,0,0,>=40,male,non-org,16,Sun,0,0
45,5ece86b9f46b2b34fc86e11f,0,0,0,>=40,female,non-org,19,Sun,0,0
46,5ece86edf46b2b34fc9091ae,0,0,0,<=18,male,is-org,21,Sun,0,0
47,5ece86f3f46b2b34fc91ab25,0,0,0,<=18,female,non-org,20,Sun,0,0
48,5ece86f8f46b2b34fc92b5ca,0,0,0,19-29,male,non-org,08,Thu,0,0
49,5ece8719f46b2b34fc982fa6,1,1,1,30-39,male,non-org,06,Thu,1,1
50,5ebf8781388f6a36d45af8c1,1,1,1,30-39,male,non-org,17,Mon,1,1
51,5ece875df46b2b34fca32cb6,1,1,1,>=40,male,non-org,17,Tue,1,1
52,5ece8775f46b2b34fca6b8f6,0,0,0,30-39,male,non-org,11,Thu,0,0
53,5ece8830f46b2b34fcc1f806,0,0,1,19-29,male,non-org,22,Tue,0,0
54,5ece886ff46b2b34fccb6ed2,0,0,0,<=18,male,non-org,18,Thu,0,0
55,5ece8896f46b2b34fcd159d4,1,0,0,<=18,male,non-org,19,Thu,0,0
56,5ece889bf46b2b34fcd230a1,1,1,1,30-39,female,non-org,16,Thu,1,1
57,5ec3932e388f6a36d4cfa4a2,1,1,1,30-39,female,non-org,17,Sun,1,1
58,5ece88c2f46b2b34fcd8338c,0,1,0,>=40,male,non-org,20,Thu,0,0
