A1,A2,A3,hour,weekday,truth,month,age,sex,org,RMV,REM,RGLAD,RLFC,text
0,0,0,22,Sun,0,12,<=18,male,non-org,0,0,0,0,Correct same as inverson no practice sleep gives me energy. Some? Can't sleep long lose energy if not broken in
0,0,1,12,Thu,0,05,<=18,male,non-org,0,0,0,0,i get great sleeps outside on june 18th or around there i shut technology off sleep 20 hours fish fry
1,0,1,12,Thu,0,05,<=18,male,non-org,1,0,0,0,Justin if i could sleep 20 hours and remember my songs maybe i can make it stop here orginize
0,0,0,20,Sun,0,07,<=18,male,non-org,0,0,0,0,There is a disease where you eventually stop sleeping and then die. There is no cure.
1,0,0,02,Mon,0,08,<=18,male,non-org,0,0,0,0,i might be edgy saving extra pills for girlfriend hospital doesn't give enough i got sleep pills she doesn't need m… https://t.co/F6yktoRA10
1,0,0,19,Thu,0,09,<=18,male,non-org,0,0,0,0,the big virus bust comes tonight code charles Priscilla American constitution and myself the not tired king if good sleep 😴
0,1,1,22,Tue,1,01,30-39,male,non-org,1,1,1,1,It might take me 3 hours to fall asleep but going to bed because I’m bored and it’s back to work tomorrow
0,0,0,22,Tue,0,01,19-29,female,non-org,0,0,0,0,Let’s go to sleep. I gotta work tomorrow. 😩 WAIT WHUUUUT
0,0,0,00,Tue,0,12,30-39,female,non-org,0,0,0,0,"Midnight, as Christmas Eve becomes Christmas morning ... my 5 yr old just muttered (in her sleep) ‘IM HAPPY NOW!’"
0,1,0,00,Thu,0,01,30-39,female,non-org,0,0,1,0,"@MrsMeghanS There’s a Radiohead album and a hey Rosetta album that I have used to fall asleep to, so I associate them with that"
1,0,1,08,Sun,0,01,30-39,female,non-org,1,1,1,1,"@knuf1985 Oh! I didn’t see that one! But, I was sleeping most of the past 2 days."
0,0,0,21,Mon,0,01,30-39,female,non-org,0,0,0,0,@girrl_friday Have you tried melatonin?
1,1,1,03,Tue,1,12,<=18,female,non-org,1,1,1,1,I can't FUCKINg sleep why can't god give me peace on this once night PLEASE
